,batch,Sample Name,M2PFOA,age
170,5,BB02420-M309_01,1297655,1
171,5,BB02420-M309_02,1265451,2
172,5,BB02421-M361_01,2884501,3
173,5,BB02421-M361_02,2899690,4
174,5,BB02422-M316_01,3414876,5
175,5,BB02422-M316_02,3481281,6
176,5,BB02423-M385_01,3439643,7
177,5,BB02423-M385_02,3325346,8
178,5,BB02424-M304_01,3172718,9
179,5,BB02424-M304_02,3166299,10
180,5,BB02589-C411_01,4456257,1
181,5,BB02589-C411_02,4473201,2
182,5,BB02590-C401_01,1884724,3
183,5,BB02590-C401_02,1696466,4
184,5,BB02591-C358_01,3195073,5
185,5,BB02591-C358_02,3295236,6
186,5,BB02592-C404_01,3159206,7
187,5,BB02592-C404_02,3290362,8
188,5,BB02593-C527_01,3291830,9
189,5,BB02593-C527_02,3350405,10
190,5,BB02594-C309_01,3724434,1
191,5,BB02594-C309_02,3722708,2
192,5,BB02595-C361_01,3473012,3
193,5,BB02595-C361_02,3423422,4
194,5,BB02596-C316_01,3580801,5
195,5,BB02596-C316_02,3618180,6
196,5,BB02597-C385_01,2468181,7
197,5,BB02597-C385_02,2487109,8
198,5,BB02598-C304_01,1915153,9
199,5,BB02598-C304_02,2444542,10
200,6,BB02425-M308_01,654345,1
201,6,BB02425-M308_02,674120,2
202,6,BB02426-M397_01,1072755,3
203,6,BB02426-M397_02,1087794,4
204,6,BB02427-M343_01,1077037,5
205,6,BB02427-M343_02,1082731,6
206,6,BB02428-M457_01,1007465,7
207,6,BB02428-M457_02,1016110,8
208,6,BB02429-M429_01,1204775,9
209,6,BB02429-M429_02,1202344,10
210,6,BB02430-M413_01,1061148,1
211,6,BB02430-M413_02,1029307,2
212,6,BB02431-M436_01,1042413,3
213,6,BB02431-M436_02,1043574,4
214,6,BB02432-M440_01,1036401,5
215,6,BB02432-M440_02,992468,6
216,6,BB02433-M421_01,940378,7
217,6,BB02433-M421_02,940230,8
218,6,BB02434-M419_01,966678,9
219,6,BB02434-M419_02,954709,10
220,6,BB02599-C308_01,1524602,1
221,6,BB02599-C308_02,1524602,2
222,6,BB02600-C397_01,1037442,3
223,6,BB02600-C397_02,1042257,4
224,6,BB02601-C343_01,1135028,5
225,6,BB02601-C343_02,1147080,6
226,6,BB02602-C457_01,958642,7
227,6,BB02602-C457_02,968883,8
228,6,BB02603-C429_01,1113061,9
229,6,BB02603-C429_02,1158058,10
230,6,BB02604-C413_01,1023063,1
231,6,BB02604-C413_02,1032416,2
232,6,BB02605-C436_01,1127483,3
233,6,BB02605-C436_02,1094901,4
234,6,BB02606-C440_01,1128227,5
235,6,BB02606-C440_02,1124186,6
236,6,BB02607-C421_01,1094158,7
237,6,BB02607-C421_02,1102878,8
238,6,BB02608-C419_01,1114186,9
239,6,BB02608-C419_02,1115590,10
240,7,BB02435-M428_01,1476604,1
241,7,BB02435-M428_02,1487841,2
242,7,BB02436-M427_01,1099446,3
243,7,BB02436-M427_02,1136804,4
244,7,BB02437-M132_01,1094782,5
245,7,BB02437-M132_02,1092440,6
246,7,BB02438-M535_01,1238006,7
247,7,BB02438-M535_02,1209885,8
248,7,BB02439-M394_01,1104638,9
249,7,BB02439-M394_02,1105770,10
250,7,BB02440-M382_01,1437714,1
251,7,BB02440-M382_02,1473299,2
252,7,BB02441-M540_01,1111720,3
253,7,BB02441-M540_02,1121222,4
254,7,BB02442-M434_01,1255042,5
255,7,BB02442-M434_02,1171303,6
256,7,BB02443-M417_01,940609,7
257,7,BB02443-M417_02,914642,8
258,7,BB02444-M399_01,1127495,9
259,7,BB02444-M399_02,1188284,10
260,7,BB02609-C428_01,1294916,1
261,7,BB02609-C428_02,1338731,2
262,7,BB02610-C427_01,1391422,3
263,7,BB02610-C427_02,1439610,4
264,7,BB02611-C132_01,1325346,5
265,7,BB02611-C132_02,1286394,6
266,7,BB02612-C535_01,1235950,7
267,7,BB02612-C535_02,1224576,8
268,7,BB02613-C394_01,1165187,9
269,7,BB02613-C394_02,1172430,10
270,7,BB02614-C382_01,1530108,1
271,7,BB02614-C382_02,1508458,2
272,7,BB02615-C540_01,1256766,3
273,7,BB02615-C540_02,1184919,4
274,7,BB02616-C434_01,951844,5
275,7,BB02616-C434_02,725614,6
276,7,BB02617-C417_01,1292296,7
277,7,BB02617-C417_02,1282275,8
278,7,BB02618-C399_01,1114820,9
279,7,BB02618-C399_02,1282969,10
280,8,BB02445-M364_01,1071402,1
281,8,BB02445-M364_02,1080780,2
282,8,BB02446-M108_01,956855,3
283,8,BB02446-M108_02,944370,4
284,8,BB02447-M416_01,655201,5
285,8,BB02447-M416_02,674665,6
286,8,BB02448-M391_01,976841,7
287,8,BB02448-M391_02,985846,8
288,8,BB02449-M374_01,950925,9
289,8,BB02449-M374_02,928396,10
290,8,BB02450-M146_01,878730,1
291,8,BB02450-M146_02,912662,2
292,8,BB02451-M149_01,1102089,3
293,8,BB02451-M149_02,1183181,4
294,8,BB02452-M147_01,1053187,5
295,8,BB02452-M147_02,1020606,6
296,8,BB02453-M553_01,853072,7
297,8,BB02453-M553_02,872544,8
298,8,BB02454-M166_01,834107,9
299,8,BB02454-M166_02,806786,10
300,8,BB02619-C364_01,1026497,1
301,8,BB02619-C364_02,1072586,2
302,8,BB02620-C108_01,904603,3
303,8,BB02620-C108_02,882926,4
304,8,BB02621-C416_01,1208482,5
305,8,BB02621-C416_02,1181012,6
306,8,BB02622-C391_01,1424525,7
307,8,BB02622-C391_02,1414112,8
308,8,BB02623-C374_01,1274301,9
309,8,BB02623-C374_02,1238745,10
310,8,BB02624-C146_01,1217382,1
311,8,BB02624-C146_02,1173190,2
312,8,BB02625-C149_01,1057678,3
313,8,BB02625-C149_02,1090937,4
314,8,BB02626-C147_01,1122311,5
315,8,BB02626-C147_02,1138177,6
316,8,BB02627-C553_01,855333,7
317,8,BB02627-C553_02,839186,8
318,8,BB02628-C166_01,924462,9
319,8,BB02628-C166_02,918590,10
320,9,BB02455-M563_01,1200753,1
321,9,BB02455-M563_02,1213148,2
322,9,BB02456-M555_01,1231955,3
323,9,BB02456-M555_02,1184626,4
324,9,BB02457-M160_01,1012931,5
325,9,BB02457-M160_02,1076741,6
326,9,BB02458-M175_01,1094773,7
327,9,BB02458-M175_02,1094643,8
328,9,BB02459-M477_01,1816427,9
329,9,BB02459-M477_02,1949654,10
330,9,BB02460-M456_01,3364178,1
331,9,BB02460-M456_02,3349932,2
332,9,BB02461-M464_01,2362882,3
333,9,BB02461-M464_02,2412969,4
334,9,BB02462-M161_01,2780283,5
335,9,BB02462-M161_02,2886934,6
336,9,BB02463-M475_01,2472795,7
337,9,BB02463-M475_02,2396268,8
338,9,BB02464-M481_01,2792797,9
339,9,BB02464-M481_02,2674434,10
340,9,BB02629-C563_01,2603745,1
341,9,BB02629-C563_02,2496818,2
342,9,BB02630-C555_01,2635003,3
343,9,BB02630-C555_02,2676307,4
344,9,BB02631-C160_01,2681794,5
345,9,BB02631-C160_02,2641051,6
346,9,BB02632-C175_01,3297043,7
347,9,BB02632-C175_02,3302079,8
348,9,BB02633-C477_01,3245605,9
349,9,BB02633-C477_02,3270420,10
350,9,BB02634-C456_01,2825986,1
351,9,BB02634-C456_02,2755429,2
352,9,BB02635-C464_01,1820331,3
353,9,BB02635-C464_02,1827496,4
354,9,BB02636-C161_01,2267275,5
355,9,BB02636-C161_02,2685657,6
356,9,BB02637-C475_01,2697229,7
357,9,BB02637-C475_02,2687623,8
358,9,BB02638-C481_01,2436148,9
359,9,BB02638-C481_02,2406273,10
360,10,BB02465-M491_01,966883,1
361,10,BB02465-M491_02,947900,2
362,10,BB02466-M610_01,1839421,3
363,10,BB02466-M610_02,1803143,4
364,10,BB02467-M551_01,1025111,5
365,10,BB02467-M551_02,1017873,6
366,10,BB02468-M559_01,891432,7
367,10,BB02468-M559_02,915920,8
368,10,BB02469-M148_01,967679,9
369,10,BB02469-M148_02,976502,10
370,10,BB02470-M452_01,1955758,1
371,10,BB02470-M452_02,2006067,2
372,10,BB02471-M499_01,2404558,3
373,10,BB02471-M499_02,2353337,4
374,10,BB02473-M601_01,940623,5
375,10,BB02473-M601_02,954913,6
376,10,BB02474-M455_01,919416,7
377,10,BB02474-M455_02,914538,8
378,10,BB02639-C491_01,1018924,9
379,10,BB02639-C491_02,1010394,10
380,10,BB02640-C610_01,946468,1
381,10,BB02640-C610_02,943292,2
382,10,BB02641-C551_01,1063346,3
383,10,BB02641-C551_02,1064794,4
384,10,BB02642-C559_01,1142092,5
385,10,BB02642-C559_02,1160790,6
386,10,BB02643-C148_01,1257985,7
387,10,BB02643-C148_02,1219496,8
388,10,BB02644-C452_01,2639387,9
389,10,BB02644-C452_02,2666905,10
390,10,BB02645-C499_01,1061661,1
391,10,BB02645-C499_02,1068130,2
394,10,BB02647-C601_01,1229028,5
395,10,BB02647-C601_02,1209905,6
396,10,BB02648-C455_01,1130179,7
397,10,BB02648-C455_02,1019676,8
398,10,BB02475-M442_01,1040664,9
399,10,BB02475-M442_02,1064014,10
400,11,BB02476-M472_01,1750553,1
401,11,BB02476-M472_02,1750329,2
402,11,BB02477-M493_01,901129,3
403,11,BB02477-M493_02,938429,4
404,11,BB02478-M495_01,1014970,5
405,11,BB02478-M495_02,1031512,6
406,11,BB02479-M613_01,1049083,7
407,11,BB02479-M613_02,1076204,8
408,11,BB02480-M608_01,1580704,9
409,11,BB02480-M608_02,1583153,10
410,11,BB02481-M607_01,1778180,1
411,11,BB02481-M607_02,1697017,2
412,11,BB02482-M604_01,1746122,3
413,11,BB02482-M604_02,1282823,4
414,11,BB02483-M487_01,1080159,5
415,11,BB02483-M487_02,1098679,6
416,11,BB02484-M620_01,1960618,7
417,11,BB02484-M620_02,1986429,8
418,11,BB02649-C442_01,1841632,9
419,11,BB02649-C442_02,1817121,10
420,11,BB02650-C472_01,1957838,1
421,11,BB02650-C472_02,1946563,2
422,11,BB02651-C493_01,1924675,3
423,11,BB02651-C493_02,1932423,4
424,11,BB02652-C495_01,962776,5
425,11,BB02652-C495_02,968463,6
426,11,BB02653-C613_01,982356,7
427,11,BB02653-C613_02,983851,8
428,11,BB02654-C608_01,1996970,9
429,11,BB02654-C608_02,1992961,10
430,11,BB02655-C607_01,2006921,1
431,11,BB02655-C607_02,2115611,2
432,11,BB02656-C604_01,1039351,3
433,11,BB02656-C604_02,1048308,4
434,11,BB02657-C487_01,2099997,5
435,11,BB02657-C487_02,2140856,6
436,12,BB02658-C620_01,2057246,7
437,12,BB02658-C620_02,2076810,8
438,12,BB02485-M467_01,1797148,9
439,12,BB02485-M467_02,1272031,10
440,12,BB02486-M611_01,1711878,1
441,12,BB02486-M611_02,1617920,2
442,12,BB02487-M606_01,960323,3
443,12,BB02487-M606_02,903517,4
444,12,BB02488-M486_01,1680023,5
445,12,BB02488-M486_02,1581658,6
446,12,BB02489-M628_01,1888687,7
447,12,BB02489-M628_02,2064613,8
448,12,BB02490-M462_01,1483925,9
449,12,BB02490-M462_02,1574224,10
450,12,BB02491-M459_01,1100902,1
451,12,BB02491-M459_02,1203803,2
452,12,BB02493-M629_01,1660964,3
453,12,BB02493-M629_02,1579756,4
454,12,BB02494-M621_01,1524281,5
455,12,BB02494-M621_02,1505534,6
456,12,BB02659-C467_01,1701198,7
457,12,BB02659-C467_02,837606,8
458,12,BB02660-C611_01,950190,9
459,12,BB02660-C611_02,904607,10
460,12,BB02661-C606_01,1356543,1
461,12,BB02661-C606_02,1344991,2
462,12,BB02662-C486_01,1465712,3
463,12,BB02662-C486_02,771769,4
464,12,BB02663-C628_01,1861172,5
465,12,BB02663-C628_02,1145579,6
466,12,BB02664-C462_01,1135726,7
467,12,BB02664-C462_02,1091753,8
468,12,BB02665-C459_01,1103589,9
469,12,BB02665-C459_02,1302974,10
470,12,BB02666-C449_01,1894762,1
471,12,BB02666-C449_02,1949718,2
472,12,BB02667-C629_01,1921882,3
473,12,BB02667-C629_02,1649521,4
474,12,BB02668-C621_01,1710483,5
475,12,BB02668-C621_02,2022988,6
476,13,BB02495-M480_01,1834680,7
477,13,BB02495-M480_02,1675486,8
478,13,BB02496-M485_01,1932707,9
479,13,BB02496-M485_02,1718256,10
480,13,BB02497-M466_01,787506,1
481,13,BB02497-M466_02,829984,2
482,13,BB02498-M600_01,1923826,3
483,13,BB02498-M600_02,1996387,4
484,13,BB02499-M488_01,1746244,5
485,13,BB02499-M488_02,1827294,6
486,13,BB02500-M479_01,2082094,7
487,13,BB02500-M479_02,2161827,8
488,13,BB02501-M498_01,939540,9
489,13,BB02501-M498_02,874358,10
490,13,BB02502-M150_01,1034329,1
491,13,BB02502-M150_02,1047654,2
492,13,BB02503-M576_01,1798374,3
493,13,BB02503-M576_02,1769387,4
494,13,BB02504-M566_01,1475774,5
495,13,BB02504-M566_02,1508777,6
496,13,BB02525-C498_01,1914784,7
497,13,BB02525-C498_02,1900658,8
498,13,BB02526-C150_01,2013033,9
499,13,BB02526-C150_02,2166591,10
500,13,BB02527-C576_01,2124741,1
501,13,BB02527-C576_02,2240531,2
502,13,BB02528-C566_01,2226027,3
503,13,BB02528-C566_02,2189094,4
504,13,BB02669-C480_01,2021435,5
505,13,BB02669-C480_02,2184722,6
506,13,BB02670-C485_01,2075807,7
507,13,BB02670-C485_02,2358336,8
508,13,BB02671-C466_01,1590653,9
509,13,BB02671-C466_02,1738001,10
510,13,BB02672-C600_01,1732214,1
511,13,BB02672-C600_02,1649933,2
512,14,BB02673-C488_01,2058949,3
513,14,BB02673-C488_02,2131535,4
514,14,BB02674-C479_01,1660535,5
515,14,BB02674-C479_02,1738975,6
516,14,BB02505-M568_01,2048073,7
517,14,BB02505-M568_02,2198932,8
518,14,BB02506-M171_01,1533977,9
519,14,BB02506-M171_02,1506573,10
520,14,BB02507-M362_01,1453474,1
521,14,BB02507-M362_02,1517957,2
522,14,BB02508-M169_01,1453949,3
523,14,BB02508-M169_02,1481050,4
524,14,BB02509-M561_01,2029403,5
525,14,BB02509-M561_02,2088047,6
526,14,BB02510-M557_01,1577028,7
527,14,BB02510-M557_02,1397870,8
528,14,BB02511-M490_01,1613409,9
529,14,BB02511-M490_02,1480108,10
530,14,BB02512-M578_01,1505431,1
531,14,BB02512-M578_02,1521913,2
532,14,BB02513-M582_01,1394801,3
533,14,BB02513-M582_02,1412363,4
534,14,BB02514-M627_01,1605467,5
535,14,BB02514-M627_02,1449073,6
536,14,BB02529-C568_01,1681121,7
537,14,BB02529-C568_02,1652549,8
538,14,BB02530-C171_01,1456827,9
539,14,BB02530-C171_02,1481962,10
540,14,BB02531-C362_01,1667814,1
541,14,BB02531-C362_02,1927571,2
542,14,BB02532-C169_01,1936712,3
543,14,BB02532-C169_02,1695317,4
544,14,BB02533-C561_01,1448360,5
545,14,BB02533-C561_02,1519278,6
546,14,BB02534-C557_01,1623350,7
547,14,BB02534-C557_02,1735285,8
548,15,BB02535-C490_01,1454063,9
549,15,BB02535-C490_02,1424477,10
550,15,BB02536-C578_01,1533243,1
551,15,BB02536-C578_02,1650073,2
552,15,BB02537-C582_01,1687726,3
553,15,BB02537-C582_02,1853304,4
554,15,BB02538-C627_01,2309706,5
555,15,BB02538-C627_02,2230090,6
556,15,BB02492-M449_01,333184,7
557,15,BB02492-M449_02,360044,8
560,15,BB02516-M626_01,387056,1
561,15,BB02516-M626_02,361402,2
562,15,BB02517-M622_01,186567,3
563,15,BB02517-M622_02,391650,4
564,15,BB02518-M642_01,344045,5
565,15,BB02518-M642_02,376925,6
566,15,BB02519-M637_01,656497,7
567,15,BB02519-M637_02,611470,8
568,15,BB02520-M641_01,428477,9
569,15,BB02520-M641_02,789926,10
570,15,BB02521-M655_01,356902,1
571,15,BB02521-M655_02,391736,2
572,15,BB02522-M636_01,390604,3
573,15,BB02522-M636_02,428414,4
574,15,BB02523-M630_01,423868,5
575,15,BB02523-M630_02,418534,6
576,15,BB02524-M632_01,362344,7
577,15,BB02524-M632_02,372401,8
578,15,BB02540-C626_01,86594,9
579,15,BB02540-C626_02,348713,10
580,15,BB02541-C622_01,135784,1
581,15,BB02541-C622_02,605000,2
582,15,BB02542-C642_01,540721,3
583,15,BB02542-C642_02,539218,4
584,15,BB02543-C637_01,532406,5
585,15,BB02543-C637_02,494003,6
586,15,BB02544-C641_01,455617,7
587,15,BB02544-C641_02,487721,8
588,16,BB02545-C655_01,546616,9
589,16,BB02545-C655_02,562957,10
590,16,BB02546-C636_01,435741,1
591,16,BB02546-C636_02,462110,2
592,16,BB02547-C630_01,589367,3
593,16,BB02547-C630_02,574586,4
594,16,BB02548-C632_01,186823,5
595,16,BB02548-C632_02,101953,6
