,batch,Sample Name,M2PFOA,age
0,1,BC01006-651C_01,2961671,1
1,1,BC01006-651C_02,2938123,2
2,1,BC01007-663C_01,2769436,3
3,1,BC01007-663C_02,2775753,4
4,1,BC01008-670C_01,2756697,5
5,1,BC01008-670C_02,2851158,6
6,1,BC01009-678C_01,3092921,7
7,1,BC01009-678C_02,3046844,8
8,1,BC01010-647C_01,2978619,9
9,1,BC01010-647C_02,2954936,10
10,1,BC01011-656C_01,3372887,1
11,1,BC01011-656C_02,3408521,2
12,1,BC01012-659C_01,3315121,3
13,1,BC01012-659C_02,3320445,4
14,1,BC01013-675C_01,2777138,5
15,1,BC01013-675C_02,2821465,6
16,1,BC01014-677C_01,2500987,7
17,1,BC01014-677C_02,2484276,8
18,1,BC01015-685C_01,3315230,9
19,1,BC01015-685C_02,3301301,10
20,1,BC01135-651M_01,3792412,1
21,1,BC01135-651M_02,3772776,2
22,1,BC01138-663M_01,2944223,3
23,1,BC01138-663M_02,2915457,4
24,1,BC01140-670M_01,3050602,5
25,1,BC01140-670M_02,3015079,6
26,1,BC01142-678M_01,2967097,7
27,1,BC01142-678M_02,2989798,8
28,1,BC01144-647M_01,2611144,9
29,1,BC01144-647M_02,2662742,10
30,1,BC01146-656M_01,2755396,1
31,1,BC01146-656M_02,2770251,2
32,1,BC01148-659M_01,3150773,3
33,1,BC01148-659M_02,3131423,4
34,1,BC01150-675M_01,2784808,5
35,1,BC01150-675M_02,2799506,6
36,1,BC01152-677M_01,3327243,7
37,1,BC01152-677M_02,3435702,8
38,1,BC01154-685M_01,3255743,9
39,1,BC01154-685M_02,3243942,10
40,2,BC01021-645C_02,1856721,1
41,2,BC01017-665C_01,2017958,2
42,2,BC01019-666C_01,1994476,3
43,2,BC01025-672C_02,2242153,4
44,2,BC01017-665C_02,2033102,5
45,2,BC01018-682C_01,2030962,6
46,2,BC01019-666C_02,2047348,7
47,2,BC01022-649C_01,1939808,8
48,2,BC01016-661C_01,2252660,9
49,2,BC01021-645C_01,1877681,10
50,2,BC01022-649C_02,1952909,1
51,2,BC01020-680C_02,2450565,2
52,2,BC01158-666M_01,2253856,3
53,2,BC01023-669C_01,2275256,4
54,2,BC01016-661C_02,2217527,5
55,2,BC01018-682C_02,2042728,6
56,2,BC01020-680C_01,2441426,7
57,2,BC01155-661M_02,2851026,8
58,2,BC01162-669M_02,3214430,9
59,2,BC01023-669C_02,2263577,10
60,2,BC01155-661M_01,2813421,1
61,2,BC01161-649M_02,2546693,2
62,2,BC01024-660C_01,1990173,3
63,2,BC01025-672C_01,2199302,4
64,2,BC01162-669M_01,3203396,5
65,2,BC01164-672M_01,2393230,6
66,2,BC01156-665M_01,3021587,7
67,2,BC01159-680M_02,2333740,8
68,2,BC01024-660C_02,1982363,9
69,2,BC01157-682M_02,2576405,10
70,2,BC01158-666M_02,2292369,1
71,2,BC01156-665M_02,2963377,2
72,2,BC01163-660M_01,3053315,3
73,2,BC01164-672M_02,2380446,4
74,2,BC01157-682M_01,2530517,5
75,2,BC01163-660M_02,3038811,6
76,2,BC01159-680M_01,2357169,7
77,2,BC01160-645M_01,2631739,8
78,2,BC01160-645M_02,2636412,9
79,2,BC01161-649M_01,2523779,10
80,3,BC01026-589C_01,1646787,1
81,3,BC01026-589C_02,1621929,2
82,3,BC01027-590C_01,1986676,3
83,3,BC01027-590C_02,2013745,4
84,3,BC01028-584C_01,1821164,5
85,3,BC01028-584C_02,1829920,6
86,3,BC01029-182C_01,1830004,7
87,3,BC01029-182C_02,1814222,8
88,3,BC01030-180C_01,1922771,9
89,3,BC01030-180C_02,1940691,10
90,3,BC01031-700C_01,1974054,1
91,3,BC01031-700C_02,1975506,2
92,3,BC01032-689C_01,1075528,3
93,3,BC01032-689C_02,1102048,4
94,3,BC01033-686C_01,1155899,5
95,3,BC01033-686C_02,1167727,6
96,3,BC01034-690C_01,1770702,7
97,3,BC01034-690C_02,1738279,8
98,3,BC01035-692C_01,1396844,9
99,3,BC01035-692C_02,1413005,10
100,3,BC01165-589M_01,2172837,1
101,3,BC01165-589M_02,2195397,2
102,3,BC01166-590M_01,2129219,3
103,3,BC01166-590M_02,2122431,4
104,3,BC01167-584M_01,1550557,5
105,3,BC01167-584M_02,1544598,6
106,3,BC01168-182M_01,2029268,7
107,3,BC01168-182M_02,2011655,8
108,3,BC01169-180M_01,2287233,9
109,3,BC01169-180M_02,2303055,10
110,3,BC01170-700M_01,1803998,1
111,3,BC01170-700M_02,1850398,2
112,3,BC01171-689M_01,2070779,3
113,3,BC01171-689M_02,2063712,4
114,3,BC01172-686M_01,1923443,5
115,3,BC01172-686M_02,1915955,6
116,3,BC01173-690M_01,2045144,7
117,3,BC01173-690M_02,2089056,8
118,3,BC01175-692M_01,2105340,9
119,3,BC01175-692M_02,2077393,10
120,4,BC01036-694C_01,1854746,1
121,4,BC01036-694C_02,1846971,2
122,4,BC01037-710C_01,1581733,3
123,4,BC01037-710C_02,1579313,4
124,4,BC01038-701C_01,1884549,5
125,4,BC01038-701C_02,1871590,6
126,4,BC01039-714C_01,1997443,7
127,4,BC01039-714C_02,1976124,8
128,4,BC01040-711C_01,1255405,9
129,4,BC01040-711C_02,1275139,10
130,4,BC01041-706C_01,1675255,1
131,4,BC01041-706C_02,1658898,2
132,4,BC01042-719C_01,1593607,3
133,4,BC01042-719C_02,1629771,4
134,4,BC01043-562C_01,1336209,5
135,4,BC01043-562C_02,1339350,6
136,4,BC01044-164C_01,1828266,7
137,4,BC01044-164C_02,1840269,8
138,4,BC01045-163C_01,1650476,9
139,4,BC01045-163C_02,1658845,10
140,4,BC01177-694M_01,1687125,1
141,4,BC01177-694M_02,1676472,2
142,4,BC01179-710M_01,1729258,3
143,4,BC01179-710M_02,1716464,4
144,4,BC01181-701M_01,1864776,5
145,4,BC01181-701M_02,1839998,6
146,4,BC01183-714M_01,1759174,7
147,4,BC01183-714M_02,1802911,8
148,4,BC01185-711M_01,1856057,9
149,4,BC01185-711M_02,1843839,10
150,4,BC01187-706M_01,1456368,1
151,4,BC01187-706M_02,1440743,2
152,4,BC01189-719M_01,1762253,3
153,4,BC01189-719M_02,1790977,4
154,4,BC01190-562M_01,1416783,5
155,4,BC01190-562M_02,1419600,6
156,4,BC01192-164M_01,2023480,7
157,4,BC01192-164M_02,2023922,8
158,4,BC01194-163M_01,2479224,9
159,4,BC01194-163M_02,2482258,10
160,5,BC01046-141C_01,2085061,1
161,5,BC01046-141C_02,2102915,2
162,5,BC01047-145C_01,2037018,3
163,5,BC01047-145C_02,2130605,4
164,5,BC01048-546C_01,1976550,5
165,5,BC01048-546C_02,1978026,6
166,5,BC01049-172C_01,1577450,7
167,5,BC01049-172C_02,1569960,8
168,5,BC01050-139C_01,1929747,9
169,5,BC01050-139C_02,1900881,10
170,5,BC01051-569C_01,2145034,1
171,5,BC01051-569C_02,2151025,2
172,5,BC01052-533C_01,2107550,3
173,5,BC01052-533C_02,2112129,4
174,5,BC01053-174C_01,1808092,5
175,5,BC01053-174C_02,1800337,6
176,5,BC01054-438C_01,1918357,7
177,5,BC01054-438C_02,1904304,8
178,5,BC01055-512C_01,1699741,9
179,5,BC01055-512C_02,1716618,10
180,5,BC01196-141M_01,1487366,1
181,5,BC01196-141M_02,1503090,2
182,5,BC01198-145M_01,1793118,3
183,5,BC01198-145M_02,1777137,4
184,5,BC01200-546M_01,2038508,5
185,5,BC01200-546M_02,2015402,6
186,5,BC01201-172M_01,1755268,7
187,5,BC01201-172M_02,1714294,8
188,5,BC01202-139M_01,1816389,9
189,5,BC01202-139M_02,1789311,10
190,5,BC01203-569M_01,1961037,1
191,5,BC01203-569M_02,2036258,2
192,5,BC01204-533M_01,1886838,3
193,5,BC01204-533M_02,1868241,4
194,5,BC01205-174M_01,2074850,5
195,5,BC01205-174M_02,2073476,6
196,5,BC01206-512M_01,1947786,7
197,5,BC01206-512M_02,1915633,8
198,5,BC01207-438M_01,1358628,9
199,5,BC01207-438M_02,1373386,10
200,6,BC01056-634C_01,1781097,1
201,6,BC01056-634C_02,1796107,2
202,6,BC01057-520C_01,1487341,3
203,6,BC01057-520C_02,1506054,4
204,6,BC01058-115C_01,1770450,5
205,6,BC01058-115C_02,1778623,6
206,6,BC01059-643C_01,1703407,7
207,6,BC01059-643C_02,1739835,8
208,6,BC01060-654C_01,1786223,9
209,6,BC01060-654C_02,1818636,10
210,6,BC01061-425C_01,2066177,1
211,6,BC01061-425C_02,2055110,2
212,6,BC01062-638C_01,2067028,3
213,6,BC01062-638C_02,2045011,4
214,6,BC01063-451C_01,1583331,5
215,6,BC01063-451C_02,1551704,6
216,6,BC01064-722C_01,1702958,7
217,6,BC01064-722C_02,1689529,8
218,6,BC01065-497C_01,1698381,9
219,6,BC01065-497C_02,1741649,10
220,6,BC01174-497M_01,1926418,1
221,6,BC01174-497M_02,1908437,2
222,6,BC01208-520M_01,1791109,3
223,6,BC01208-520M_02,1759900,4
224,6,BC01209-634M_01,1572699,5
225,6,BC01209-634M_02,1578038,6
226,6,BC01210-115M_01,1272660,7
227,6,BC01210-115M_02,1336438,8
228,6,BC01211-643M_01,1899361,9
229,6,BC01211-643M_02,1904119,10
230,6,BC01212-425M_01,1473719,1
231,6,BC01212-425M_02,1476612,2
232,6,BC01213-654M_01,1176601,3
233,6,BC01213-654M_02,1202664,4
234,6,BC01214-451M_01,1709352,5
235,6,BC01214-451M_02,1678734,6
236,6,BC01215-638M_01,1813896,7
237,6,BC01215-638M_02,1775673,8
238,6,BC01216-722M_01,1504633,9
239,6,BC01216-722M_02,1588096,10
240,7,BC01066-712C_01,1391005,1
241,7,BC01066-712C_02,1397620,2
242,7,BC01067-321C_01,1398155,3
243,7,BC01067-321C_02,1371960,4
244,7,BC01068-704C_01,1540449,5
245,7,BC01068-704C_02,1551003,6
246,7,BC01070-405C_01,1465878,7
247,7,BC01070-405C_02,1509318,8
248,7,BC01071-716C_01,1208334,9
249,7,BC01071-716C_02,1213078,10
250,7,BC01072-310C_01,1510769,1
251,7,BC01072-310C_02,1477197,2
252,7,BC01073-418C_01,1488527,3
253,7,BC01073-418C_02,1494757,4
254,7,BC01074-324C_01,1028202,5
255,7,BC01074-324C_02,1007604,6
256,7,BC01075-443C_01,1232269,7
257,7,BC01075-443C_02,1254434,8
258,7,BC01176-321M_01,1517494,9
259,7,BC01176-321M_02,1487589,10
260,7,BC01178-405M_01,1538345,1
261,7,BC01178-405M_02,1515930,2
262,7,BC01180-310M_01,945703,3
263,7,BC01180-310M_02,939175,4
264,7,BC01182-324M_01,1203891,5
265,7,BC01182-324M_02,1204577,6
266,7,BC01217-712M_01,1155966,7
267,7,BC01217-712M_02,1168316,8
268,7,BC01218-704M_01,1338312,9
269,7,BC01218-704M_02,1348206,10
270,7,BC01219-705M_01,1005762,1
271,7,BC01219-705M_02,1061805,2
